Hotel Name,rate,date,price
Dai-ichi Hotel Tokyo,4.8,"Sunday, December 1, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Monday, December 2, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Tuesday, December 3, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Wednesday, December 4, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Thursday, December 5, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Friday, December 6, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Saturday, December 7, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Sunday, December 8, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Monday, December 9, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Tuesday, December 10, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Wednesday, December 11, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Thursday, December 12, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Friday, December 13, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Saturday, December 14, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Sunday, December 15, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Monday, December 16, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Tuesday, December 17, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Wednesday, December 18, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Thursday, December 19, 2024","7,303"
Dai-ichi Hotel Tokyo,4.8,"Friday, December 20, 2024","7,786"
Dai-ichi Hotel Tokyo,4.8,"Saturday, December 21, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Sunday, December 22, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Monday, December 23, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Tuesday, December 24, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Wednesday, December 25, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Thursday, December 26, 2024",14.6K
Dai-ichi Hotel Tokyo,4.8,"Friday, December 27, 2024",19K
Dai-ichi Hotel Tokyo,4.8,"Saturday, December 28, 2024",15.2K
Dai-ichi Hotel Tokyo,4.8,"Sunday, December 29, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Monday, December 30, 2024",NaN
Dai-ichi Hotel Tokyo,4.8,"Tuesday, December 31, 2024",36.8K
Dai-ichi Hotel Tokyo,4.8,"Wednesday, January 1, 2025",15.1K
Dai-ichi Hotel Tokyo,4.8,"Thursday, January 2, 2025",14.7K
Dai-ichi Hotel Tokyo,4.8,"Friday, January 3, 2025","9,532"
Dai-ichi Hotel Tokyo,4.8,"Saturday, January 4, 2025","8,590"
Dai-ichi Hotel Tokyo,4.8,"Sunday, January 5, 2025","6,259"
Dai-ichi Hotel Tokyo,4.8,"Monday, January 6, 2025","6,259"
Dai-ichi Hotel Tokyo,4.8,"Tuesday, January 7, 2025","8,259"
Dai-ichi Hotel Tokyo,4.8,"Wednesday, January 8, 2025","8,259"
Dai-ichi Hotel Tokyo,4.8,"Thursday, January 9, 2025","8,944"
Dai-ichi Hotel Tokyo,4.8,"Friday, January 10, 2025","8,259"
Dai-ichi Hotel Tokyo,4.8,"Saturday, January 11, 2025",42.8K
Dai-ichi Hotel Tokyo,4.8,"Sunday, January 12, 2025","6,954"
Dai-ichi Hotel Tokyo,4.8,"Monday, January 13, 2025",NaN
Dai-ichi Hotel Tokyo,4.8,"Tuesday, January 14, 2025","6,097"
Dai-ichi Hotel Tokyo,4.8,"Wednesday, January 15, 2025, departure date.","8,422"
Dai-ichi Hotel Tokyo,4.8,"Thursday, January 16, 2025, return date.",NaN
Dai-ichi Hotel Tokyo,4.8,"Friday, January 17, 2025","9,722"
Dai-ichi Hotel Tokyo,4.8,"Saturday, January 18, 2025",11.7K
Dai-ichi Hotel Tokyo,4.8,"Sunday, January 19, 2025",11.1K
Dai-ichi Hotel Tokyo,4.8,"Monday, January 20, 2025","9,862"
Dai-ichi Hotel Tokyo,4.8,"Tuesday, January 21, 2025",11.1K
Dai-ichi Hotel Tokyo,4.8,"Wednesday, January 22, 2025",11.1K
Dai-ichi Hotel Tokyo,4.8,"Thursday, January 23, 2025",11.1K
Dai-ichi Hotel Tokyo,4.8,"Friday, January 24, 2025",11.1K
Dai-ichi Hotel Tokyo,4.8,"Saturday, January 25, 2025",11.1K
Dai-ichi Hotel Tokyo,4.8,"Sunday, January 26, 2025","8,620"
Dai-ichi Hotel Tokyo,4.8,"Monday, January 27, 2025","8,677"
Dai-ichi Hotel Tokyo,4.8,"Tuesday, January 28, 2025",11.1K
Dai-ichi Hotel Tokyo,4.8,"Wednesday, January 29, 2025",10.5K
Dai-ichi Hotel Tokyo,4.8,"Thursday, January 30, 2025",10.5K
Dai-ichi Hotel Tokyo,4.8,"Friday, January 31, 2025",10.5K
Dai-ichi Hotel Tokyo,4.8,"Saturday, February 1, 2025",NaN
Dai-ichi Hotel Tokyo,4.8,"Sunday, February 2, 2025","8,620"
Dai-ichi Hotel Tokyo,4.8,"Monday, February 3, 2025","8,677"
Dai-ichi Hotel Tokyo,4.8,"Tuesday, February 4, 2025","8,748"
Dai-ichi Hotel Tokyo,4.8,"Wednesday, February 5, 2025","7,475"
Dai-ichi Hotel Tokyo,4.8,"Thursday, February 6, 2025","7,475"
